FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2023/2024,21,"Public Safety, Democratic Institutions and Intergovernmental Affairs","Sécurité publique, Institutions démocratiques et Affaires intergouvernementales",088,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,"Payments to the provinces, territories, municipalities, Indian band councils and recognized authorities representing Indians on reserve, Indian communities on Crown land and Inuit communities, for the First Nations and Inuit Policing Program","Paiements aux provinces, aux territoires, aux municipalités, ainsi qu'aux conseils de bande, aux représentants officiels des autochtones vivant dans les réserves, aux collectivités autochtones établies sur les terres de la Couronne et aux groupes Inuits conformément au Programme de services de police des Premières Nations et des Inuits",Treaty Three Police Service Board,Treaty Three Police Service Board,Kenora,Kenora,Ontario,Ontario,,,0,13421507
2023/2024,8,"Fisheries, Oceans and the Canadian Coast Guard","Pêches, Océans et Garde côtière canadienne",086,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,Contributions in Support of the Integrated Aboriginal Programs Management Framework,Contributions à l'appui du cadre de gestion intégrée pour les programmes de contributions Autochtones,Central Coast Commercial Fisheries Limited Partnership,Central Coast Commercial Fisheries Limited Partnership,Campbell River,Campbell River,British Columbia,Colombie-Britannique,,,0,497000
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions for First Nations and Inuit Primary Health Care,Contributions aux soins de santé primaires des Premières Nations et des Inuits,Centre multiservice pour Autochtones en milieu urbain de Kébek - Mamuk,Centre multiservice pour Autochtones en milieu urbain de Kébek - Mamuk,Québec,Québec,Quebec,Québec,,,0,245000
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",035,National Research Council of Canada,Conseil national de recherches du Canada,Industrial Research Assistance Program - Contributions to Firms,Programme d'aide à la recherche industrielle - Contributions aux entreprises,BreatheSuite Inc,BreatheSuite Inc,St. John's,Saint-Jean de Terre-Neuve,Newfoundland and Labrador,Terre-Neuve-et-Labrador,,,0,371000
2023/2024,32,"Women, Gender Equality and Youth","Femmes, Égalité des genres et Jeunesse",190,Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres,Women's Program - Contributions to women's and other voluntary organizations for the purpose of furthering women's participation in Canadian society,Programme de promotion de la femme - Contributions à des organismes de femmes et à d'autres organismes bénévoles dans le but de promouvoir la participation des femmes à la société canadienne,Government of Ontario,Gouvernement de l'Ontario,Oshawa,Oshawa,Ontario,Ontario,,,0,2800000
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Contributions to the Canada Cultural Spaces Fund,Contributions pour le Fonds du Canada pour les espaces culturels,Hornby Island Arts Council,Hornby Island Arts Council,Hornby,Hornby,British Columbia,Colombie-Britannique,,,0,313924
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,"Payments to provinces, territories, municipalities, other public bodies, organizations, groups, communities, employers and individuals for the provision of training and/or work experience, the mobilization of community resources, and human resource planning and adjustment measures necessary for the efficient functioning of the Canadian labour market","Paiements aux provinces, aux territoires, aux municipalités, aux autres organismes publics, aux organisations, aux groupes, aux collectivités, aux employeurs et aux particuliers afin de pourvoir à la formation ou à l'expérience de travail, à la mobilisation des ressources communautaires et aux mesures de planification et d'adaptation de ressources humaines nécessaires au fonctionnement efficace du marché du travail canadien",Nuu chah nulth Tribal Council,Conseil tribal Nuu chah nulth,Port Alberni,Port Alberni,British Columbia,Colombie-Britannique,,,0,1102622
2023/2024,13,Crown-Indigenous Relations and Northern Affairs,Relations Couronne-Autochtones et Affaires du Nord,042,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,"Contributions to support the negotiation and implementation of Treaties, Claims and self-government agreements or initiatives","Contributions pour appuyer la négociation et la mise en oeuvre d'ententes ou d'initiatives de traités, de revendications et d'autonomie gouvernementale","Mamaweswen, The North Shore Tribal Council Secretariat","Mamaweswen, The North Shore Tribal Council Secretariat",Cutler,Cutler,Ontario,Ontario,,,0,861389
2023/2024,17,Natural Resources,Ressources naturelles,041,Department of Natural Resources,Ministère des Ressources naturelles,Contributions in support of Energy Efficiency,Contributions à l'appui de l'efficacité énergétique,Écohabitation,Écohabitation,Montréal,Montréal,Quebec,Québec,,,0,139314
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",035,National Research Council of Canada,Conseil national de recherches du Canada,Industrial Research Assistance Program - Contributions to Firms,Programme d'aide à la recherche industrielle - Contributions aux entreprises,Bluedrop Training & Simulation,Bluedrop Training & Simulation,St. John's,Saint-Jean de Terre-Neuve,Newfoundland and Labrador,Terre-Neuve-et-Labrador,,,0,900000
